id,short_title,long_title,act_number,act_year,enact_date,enforcement_date,jurisdiction,ministry,department,section_count,in_force,unit
doctor-ram-manohar-lohiya-national-law-university-act,"The Doctor Ram Manohar Lohiya National Law University Act, 2005",,28,2005,2005-12-19,,Uttar Pradesh,,Higher Education,49,1,section
dowry-prohibition-act-1961,"The Dowry Prohibition Act, 1961",An Act to prohibit the giving or taking of dowry.,28,1961,1961-05-20,1961-07-01,CENTRAL,Ministry of Women and Child Development,,13,1,section
dowry-prohibition-act-1961-chandigarh,"The Dowry Prohibition Act, 1961",,28,1961,1961-05-20,,Chandigarh,,Police Department,1,1,section
dr-babasaheb-ambedkar-technological-university-act-2014,"The Dr. Babasaheb Ambedkar Technological University Act, 2014.",,29,2014,2014-06-27,,Maharashtra,Govt of Maharashtra,Higher and Technical Education Department,111,1,section
dr-rajendra-prasad-central-agricultural-university-act-2016,"The Dr. Rajendra Prasad Central Agricultural University Act, 2016.","An Act to provide for the establishment and incorporation of a University by conversion of the existing Rajendra Agricultural University, Pusa, Bihar to Dr. Rajendra Prasad Central Agricultural University for the development of agriculture and for the furtherance of the advancement of learning and pursuit of research in agriculture and allied sciences and to declare it to be an institution of national importance.",32,2016,2016-05-28,2016-10-07,CENTRAL,Ministry of Agriculture and Farmers Welfare,Department of Agricultural Research and Education,46,1,section
dr-ram-manohar-lohia-institute-medical-sciences-act,Dr. Ram Manohar Lohia Institute of Medical Sciences Act 2015,,41,2018,2018-09-12,,Uttar Pradesh,,Medical Education,52,1,section
dr-shakuntala-misra-rehabilitation-university-act-2009-with,Dr Shakuntala Misra Rehabilitation University Act 2009 with Ammendments,Dr Shakuntala Misra Rehabilitation University (For Differently Abled ) Uttar Pradesh Act 2009 with Amendments,1,2009,2009-02-19,,Uttar Pradesh,,Empowerment Of Persons With Disabilities,49,1,section
drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940","An Act to regulate the import, manufacture, distribution and sale of drugs and cosmetics.",23,1940,1940-04-10,1940-04-10,CENTRAL,Ministry of Health and Family Welfare,Department of Health and Family Welfare,90,1,section
drugs-cosmetics-act-1940-chandigarh-1940,"The Drugs and Cosmetics Act, 1940",,23,1940,2016-12-31,,Chandigarh,,Government Medical College Hospital Sector 16,1,1,section
drugs-magic-remedies-objectionable-advertisement-act-1954,"The Drugs and Magic Remedies (Objectionable Advertisement) Act, 1954","An Act to control the advertisement of drugs in certain cases, to prohibit the advertisement for certain purposes of remedies alleged to possess magic qualities and to provide for matters connected therewith.",21,1954,1954-04-30,1955-04-01,CENTRAL,Ministry of Health and Family Welfare,Department of Health and Family Welfare,18,1,section
