kind,title,year,jurisdiction,ministry,act,act_title
notification,"Amendment S.O. No.(E) 3740 in Final Notification Delclaring Eco Sensitive Zone Dr Salim Ali Bird Sanctuary, Goa",2024,CENTRAL,"Ministry of Environment, Forest and Climate Change",environment-act,"The Environment (Protection) Act, 1986"
notification,"Amendment S.O. No.(E) 3754 in Final Notification Delclaring Eco Sensitive Zone Madei Wildlife Sanctuary, Goa",2024,CENTRAL,"Ministry of Environment, Forest and Climate Change",environment-act,"The Environment (Protection) Act, 1986"
notification,"Amendment SchY_PMS, Sytematic Toxicity studies_Section",2016,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment SchY_Relating to Informed Consent_Section,2015,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment Schedule K-Production of Oxygen 93 percent_Section,2005,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment Schedule K_Words,figures, letters ommitted in form 20C_Sction",2015,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment Schedule K_addition of Homeopathic Hair Oils, omission of Arnica Montana hair oil_Sction",2009,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment Thermal Power Plants extension-Gazette Notification G.S.R. 787(E) dated 30.12.2024,2024,CENTRAL,"Ministry of Environment, Forest and Climate Change",environment-act,"The Environment (Protection) Act, 1986"
notification,Amendment User fee notification bearing S.O. No. 2440 (E) dated 08.09.2019,2014,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,Amendment alignment of Nagpur Metro Rail Project Phase-I,2021,CENTRAL,Ministry of Housing and Urban Affairs,metro-railways-construction-works-act-1978,"The Metro Railways (Construction of Works) Act, 1978"
notification,Amendment bearing S.O. 2483 (E) dated 14.09.2015 in the principal notification published vide S.O. 3319(E) dated 30.12.2014,2015,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment in Annual Membership Fee under Chartered Accountants Act, 1949",2008,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,Amendment in Clause sub Clause (i) of Clause (5) of Statute 1 of IGNOU,1990,CENTRAL,Ministry of Education,indira-gandhi-national-open-university-act-1985,"The Indira Gandhi National Open University Act, 1985"
notification,Amendment in Constitution of Central Advisory Board on Disability,2022,CENTRAL,Ministry of Social Justice and Empowerment,rights-persons-with-disabilities-act-2016,"The Rights of Persons with Disabilities Act, 2016."
notification,Amendment in Constitution of Central Advisory Board on Disability,2022,CENTRAL,Ministry of Social Justice and Empowerment,rights-persons-with-disabilities-act-2016,"The Rights of Persons with Disabilities Act, 2016."
notification,Amendment in Constitution of Governing Body for management of National Fund for Persons with Disabilities,2022,CENTRAL,Ministry of Social Justice and Empowerment,rights-persons-with-disabilities-act-2016,"The Rights of Persons with Disabilities Act, 2016."
notification,"Amendment in Cost and Works Accountants Regulation, 1959, in exercise of powers conferred by sub-section (1) of Section 39 of Cost and Works Accountants Acts,1959 (23 of 1959)",2009,CENTRAL,Ministry of Corporate Affairs,cost-accountants-act-1959,"The Cost Accountants Act, 1959"
notification,Amendment in G.S.R. 82 dt. 10.02.2011,2011,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment in GSR 577(E) dated 23.7.1983,2018,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment in Guidelines for the purpose of assessing the extant of specified disabilities in a person,2020,CENTRAL,Ministry of Social Justice and Empowerment,rights-persons-with-disabilities-act-2016,"The Rights of Persons with Disabilities Act, 2016."
notification,Amendment in Guidelines for the purpose of assessing the extant of specified disabilities in a person,2021,CENTRAL,Ministry of Social Justice and Empowerment,rights-persons-with-disabilities-act-2016,"The Rights of Persons with Disabilities Act, 2016."
notification,Amendment in NFSA dated 27.06.2018,2018,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",national-food-security-act-2013,"The National Food Security Act, 2013"
notification,Amendment in NFSA dated 30.09.2019,2019,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",national-food-security-act-2013,"The National Food Security Act, 2013"
notification,"Amendment in Notifications GSR 734(E) dated 27.11.2006, GSR 708(E) dated 17.11.2006, GSR 710(E) dated 17.11.2006 and GSR 709(E) dated 17.11.2006,",2007,CENTRAL,Ministry of Corporate Affairs,company-secretaries-act-1980,"The Company Secretaries Act, 1980"
notification,"Amendment in Notifications GSR 734(E) dated 27.11.2006, GSR 708(E) dated 17.11.2006, GSR 710(E) dated 17.11.2006 and GSR 709(E) dated 17.11.2006,",2007,CENTRAL,Ministry of Corporate Affairs,cost-accountants-act-1959,"The Cost Accountants Act, 1959"
notification,"Amendment in Notifications GSR 734(E) dated 27.11.2006, GSR 708(E) dated 17.11.2006, GSR 710(E) dated 17.11.2006 and GSR 709(E) dated 17.11.2006.",2007,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,Amendment in Ordinance5,2004,CENTRAL,Ministry of Education,indira-gandhi-national-open-university-act-1985,"The Indira Gandhi National Open University Act, 1985"
notification,"Amendment in Para10(1), 11,12(3)&12(4) of Coal Mines Pension Scheme, 1998",2024,CENTRAL,Ministry of Coal,coal-mines-provident-fund-miscellaneous-provisions-act-1948,"The Coal Mines Provident Fund and Miscellaneous Provisions Act, 1948"
notification,"Amendment in Regulations 11(14) appended with PGIMER Regulations, 1967",2013,CENTRAL,Ministry of Health and Family Welfare,post-graduate-institute-medical-education-research-chandigarh-act-1966,"The Post-Graduate Institute of Medical Education and Research, Chandigarh, Act 1966"
notification,Amendment in Rule 19 A regarding zone wise value of buffer stock.,2007,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",sugar-development-fund-act-1982,"The Sugar Development Fund Act, 1982"
notification,Amendment in S.O.477(E),2004,CENTRAL,Ministry of Commerce and Industry,industries-development-regulation-act-1951,"The Industries (Development and Regulation) Act, 1951"
notification,Amendment in S.O.477(E) dated 03.06.2003,2003,CENTRAL,Ministry of Commerce and Industry,industries-development-regulation-act-1951,"The Industries (Development and Regulation) Act, 1951"
notification,Amendment in S.O.477(E) dated 14.08.2008,2008,CENTRAL,Ministry of Commerce and Industry,industries-development-regulation-act-1951,"The Industries (Development and Regulation) Act, 1951"
notification,Amendment in S.O.477(E) dated 23.09.2005,2005,CENTRAL,Ministry of Commerce and Industry,industries-development-regulation-act-1951,"The Industries (Development and Regulation) Act, 1951"
notification,Amendment in Sch.IV of the Companies Act 2013,2017,CENTRAL,Ministry of Corporate Affairs,companies-act,"The Companies Act, 2013"
notification,"Amendment in Schedule I of NFSA, 2013 dated 29.06.2017",2017,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",national-food-security-act-2013,"The National Food Security Act, 2013"
notification,"Amendment in Schedule I of NFSA, 2013 dated 29.11.2016",2016,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",national-food-security-act-2013,"The National Food Security Act, 2013"
notification,"Amendment in Schedule I of NFSA, 2013 dated 30.03.2017",2017,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",national-food-security-act-2013,"The National Food Security Act, 2013"
notification,Amendment in Schedule II dated 25.01.2023,2023,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",national-food-security-act-2013,"The National Food Security Act, 2013"
notification,"Amendment in Schedule III to the Companies Act, 2013.",2017,CENTRAL,Ministry of Corporate Affairs,companies-act,"The Companies Act, 2013"
notification,"Amendment in Schedule I_Ayurvedic, Siddha Pharmacopeia and its parts_Section",2010,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in Section 11of National Jute Board Regulations, 2012",2023,CENTRAL,Ministry of Textiles,national-jute-board-act-2008,"The National Jute Board Act, 2008"
notification,Amendment in Shedule D(I) and Schedule D(II)_Section,2016,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment in constitution of Tungbhadra Board,2014,CENTRAL,Ministry of Home Affairs,andhra-pradesh-reorganisation-act-2014,"The Andhra Pradesh Reorganisation Act, 2014"
notification,"Amendment in notification G.S.R 1693 (E) dated 3rd October, 2007",2015,CENTRAL,Ministry of Corporate Affairs,cost-accountants-act-1959,"The Cost Accountants Act, 1959"
notification,"Amendment in notification G.S.R 490 (E) dated 13th July, 2007",2016,CENTRAL,Ministry of Corporate Affairs,company-secretaries-act-1980,"The Company Secretaries Act, 1980"
notification,"Amendment in notification G.S.R 490 (E) dated 13th July, 2007",2015,CENTRAL,Ministry of Corporate Affairs,company-secretaries-act-1980,"The Company Secretaries Act, 1980"
notification,"Amendment in schedule II of Companies Act, 2013",2014,CENTRAL,Ministry of Corporate Affairs,companies-act,"The Companies Act, 2013"
notification,"Amendment in schedule VII of Companies Act, 2013",2014,CENTRAL,Ministry of Corporate Affairs,companies-act,"The Companies Act, 2013"
notification,Amendment in sub clause (a) of Clause (9) of Statute 17,1993,CENTRAL,Ministry of Education,indira-gandhi-national-open-university-act-1985,"The Indira Gandhi National Open University Act, 1985"
notification,Amendment in the 1st Schedule of IDR,2016,CENTRAL,Ministry of Commerce and Industry,industries-development-regulation-act-1951,"The Industries (Development and Regulation) Act, 1951"
notification,Amendment in the Composition of General Council,2018,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,Amendment in the Composition of General Council,2018,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,Amendment in the Composition of General Council,2000,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,Amendment in the Composition of General Council,2008,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,Amendment in the Composition of General Council,2009,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,Amendment in the Composition of General Council,2000,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,Amendment in the Composition of General Council,2018,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,Amendment in the Composition of General Council,2013,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,Amendment in the Composition of General Council,1998,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,"Amendment in the Notification No. S.O. 912(E), dated 21.04.2010",2015,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment in the Notification bearing S.O. No. 1153(E), dated 22.05.2012",2012,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment in the Notification bearing S.O. No. 2921(E), dated 17.12.2012",2016,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment in the Notification bearing S.O. No. 3158 (E), dated 24.11.2015",2017,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment in the Notification bearing S.O. No. 334 (E), dated 07.02.2013",2005,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment in the Notification of the Government of India in the Ministry of Road Transport and Highways bearing S.O. No. 594(E), dated 08.03.2013",2016,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment in the Notification of the Government of India in the Ministry of Road Transport and Highways bearing S.O. No. 835 (E), dated 26.03.2013",2014,CENTRAL,Ministry of Road Transport and Highways,national-highways-authority-india-act-1988,"The National Highways Authority of India Act, 1988"
notification,"Amendment in the Notification of the Government of India in the Ministry of Shipping, Road Transport and Highways (Department of Road Transport and Highways) bearing S.O. No. 926(E), dated 6th April,2009",2015,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,Amendment in the Notification regarding Guidelines for Certification of Films for Public Exhibition published vide S.O. 836(E) dated 06.12.1991,1997,CENTRAL,Ministry of Information and Broadcasting,cinematograph-act-1952,"The Cinematograph Act, 1952"
notification,Amendment in the Order of Stamp Duty on specified Instruments,2018,CENTRAL,Ministry of Finance,stamp-act,"The Indian Stamp Act, 1899"
notification,Amendment in the Rule 3A_Ffunctions of laboratories in respect of IUD_Section,1998,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment in the Rule 49_Section,1993,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment in the Rule 49_Section,1996,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the Schedule of the RCI Act, 1992",2006,CENTRAL,Ministry of Social Justice and Empowerment,rehabilitation-council-india-act-1992,"The Rehabilitation Council of India Act, 1992"
notification,"Amendment in the additional fee for name to be entered in the register under Chartered Accountants Act, 1949",2008,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,Amendment in the composition of Licensing Committee,2013,CENTRAL,Ministry of Commerce and Industry,industries-development-regulation-act-1951,"The Industries (Development and Regulation) Act, 1951"
notification,"Amendment in the fee for name to be entered in the register under Chartered Accountants Act, 1949",2008,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment in the fee for name to be entered in the register under Chartered Accountants Act, 1949",2008,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment in the fee for practicing under Chartered Accountants Act, 1949",2008,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment in the notification number S.O. 760(E), dated the 18th March, 2009",2014,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment in the notification of the Government of India in the Ministry of Road Transport and Highways number S.O. 1081 (E), dated the 30.04.2013",2015,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,Amendment in the notification of the Government of India in the Ministry of Road Transport and Highways number S.O. 1457(E) dated the 20th December 2003,2016,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,Amendment in the notification regarding Prohibition of import of Methaqualone_Section,1984,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment in the notification regarding Prohibition of import of Rimonabant_Section,2009,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment in the notification regarding Prohibition of import ofChloral Hydrate_Section,1991,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of manufacture, sale Fixed dose combination of Salbutamol or any other drug having primarily bronchdilatory activity with centrally acting anti-tussive andor antithistamine_Section",2008,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale fo FDC of Corticosteroid_Section",2009,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale fo FDC of crude Ergot preparation and Chloral Hydrate_Section",1991,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of FDC of Rifampicin, Isoniazide and pyraxinamide_Section",2003,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of Fixed dose combinationf of Metoclopramide except combination of Metoclopramide with AspirinParacetamol_Section",2001,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of Fixed dose combinationf ofHydroxyquinoline group of drugs with any other drug except for preparations meant for external use_Section _Section",1995,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of Methaqualone_Section",1984,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of ORS_Section",1995,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of Oxytetracycline and Demeclocycline Liquid Oral Preparations_Section",1984,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of Rimonaband_Section",2009,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of said drugs_Section",1994,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of said drugs_Section",1991,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment in the notification regarding Prohibition of the manufacture, sale of said drugs_Section",1990,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment in the rate of Stamp Duty on specified Instruments,2018,CENTRAL,Ministry of Finance,stamp-act,"The Indian Stamp Act, 1899"
notification,"Amendment made Charted Accountants Regulations , 1988 , in exercise of powers conferred by sub-section (1) of Section 30 of the said Act",2008,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment made Charted Accountants Regulations , 1988 , in exercise of powers conferred by sub-section (1) read with sub-section (3) ,of Section 30 of the said Act",2008,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment made in the Charted Accountants Procedures and Terms & Conditions of Services and Allowances of the Chairpersons and members of Board Rules ,2006, in accordance with the power conferred by cl(f)and (g) of sub-section (2) of Section 29A of, rw Section 28C abd sub-section (1) of Section 28D of the Chartered Accountants Act, 1949 (38 of 1949)",2009,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment made in the notification No.G S R 448(E) Dated 28.06.2007 constituting the Quality Review Board in accordance with the power conferred under section28Aof the Chartered Accountants Act, 1949 (38 of 1949)2009",2009,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment made in the notification No.G S R 448(E) Dated 28.06.2007 in accordance with the power conferred under section28A of the Chartered Accountants Act, 1949 (38 of 1949)",2009,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment made in the notification No.G S R 448(E) Dated 28.06.2007 in accordance with the power conferred under section28A of the Chartered Accountants Act, 1949 (38 of 1949)",2009,CENTRAL,Ministry of Corporate Affairs,chartered-accountants-act-1949,"The Chartered Accountants Act, 1949"
notification,"Amendment notification Declaring Eco Sensitive Zone S.O. No. 3144(E) around Bir Motibagh Wildlife Sanctuary, Punjab",2023,CENTRAL,"Ministry of Environment, Forest and Climate Change",environment-act,"The Environment (Protection) Act, 1986"
notification,Amendment notification S.O. 465(E) dated 26.02.2013 authorized National Highways Authority of India,2016,CENTRAL,Ministry of Road Transport and Highways,national-highways-act-1956,"The National Highways Act, 1956"
notification,"Amendment notification declaring Eco Sensitive Zone S.O. No. 1738(E) around Chinchioli Wildlife Sanctuary, Karnataka",2020,CENTRAL,"Ministry of Environment, Forest and Climate Change",environment-act,"The Environment (Protection) Act, 1986"
notification,"Amendment notification to S.O. 728(E) dated the 18th October, 1996",2016,CENTRAL,Ministry of Road Transport and Highways,mv-act,"The Motor Vehicles Act, 1988"
notification,"Amendment of 8(1) committee constituted under the Indian Statistical Institute (ISI) Act, 1959 (57 of 1959)",2024,CENTRAL,Ministry of Statistics and Programme Implementation,indian-statistical-institute-act-1959,"The Indian Statistical Institute Act, 1959"
notification,"Amendment of 9(1) committee constituted under the Indian Statistical Institute (ISI) Act, 1959 (57 of 1959)",2021,CENTRAL,Ministry of Statistics and Programme Implementation,indian-statistical-institute-act-1959,"The Indian Statistical Institute Act, 1959"
notification,"Amendment of 9(1) committee constituted under the Indian Statistical Institute (ISI) Act, 1959 (57 of 1959)",2020,CENTRAL,Ministry of Statistics and Programme Implementation,indian-statistical-institute-act-1959,"The Indian Statistical Institute Act, 1959"
notification,"Amendment of Drugs and Cosmetics Rule, 1945_Section",2001,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Drugs and Cosmetics Rule, 1945_labelling requirements of Medical devices_Sectionn",2014,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Para 13 of CMPS 1998 (Disabled children of CMPF Pensioners)),2023,CENTRAL,Ministry of Coal,coal-mines-provident-fund-miscellaneous-provisions-act-1948,"The Coal Mines Provident Fund and Miscellaneous Provisions Act, 1948"
notification,Amendment of Payment of Arrears of Pension (Nomination) Rules 1983,2014,CENTRAL,"Ministry of Personnel, Public Grievances and Pensions",pensions-act-1871,"The Pensions Act, 1871"
notification,Amendment of Rule 103A Additional of Rule,2017,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 122DA,2016,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 122DAB, Schedule Y & Appendix XII_Section",2014,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 122DA_Substitution of Explanation_122DA omitted_Section,2015,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 122F, 122G, Schedule F_Section",2005,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 122P,2017,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 122_Requirements of blood bank_Section,1999,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 127_Addition of Titanium Dioxide coated mica pearlscent pigments_Section,2012,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 157A_Ayurveda, Siddha, Unani_Section",2013,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 168_Section 33N_D&C Act,2002,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 2,122A,122B_Data to be submitted for Phytopharmaceuticals for CT_Section",2015,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 3A,2017,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 3A_CDTL, Chennai notified for Condoms_Section",2009,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 3A_Section 12 and 33_D&C Act,2002,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 3A_tests notified for NIB_Sectinon,2014,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 43A,2017,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 43A_Addition of Vishakhapatnam Sea and air port_Section,2016,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 43A_Addition of mumugao sea port and Goa, Bengaluru air port_Section",2012,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 43A_Section,1992,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 65A, Rule 97_Inclusion of Sch H1,Omission of said drugs from Sch H List_Section",2013,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 69,71,75,76_Section",2002,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 69,75,76,122B Sch P_Section",2006,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 71, 71A, 71B 76, 76A_Active",2014,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 74, 74A, 74B,78,78A",2015,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 74, 78, 150E_Imlementation of Sch_L1_Section",2008,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,"Amendment of Rule 75A, 76A, 78A , 83A,83AA.Schedule A_Section",2012,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
notification,Amendment of Rule 97A-Lablelling requirements for Food producing Animals_Section,2012,CENTRAL,Ministry of Health and Family Welfare,drugs-cosmetics-act-1940,"The Drugs and Cosmetics Act, 1940"
