kind,title,year,jurisdiction,ministry,act,act_title
circular,": Clarification regarding non-applicability of Anti Dumping Duty under Notification No.15/2007-Cus dated 20.02.2007 to Spandex Yarn (Elastomeric Yarn) falling under Tariff Item 5402 44 00 - Circular No.30/2010-Customs, dated 30.08.2010",2010,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,": Clarification regarding policy relating import of cars.- Circular No.96-1995-Customs, dated 29.08.1995",1995,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,": Eligibility of BOPP films under notification no/. 25/99-Cus. dated 28.2.99 sl. nos. 52 and 44- Circular No.70/03-Customs, dated 6.8.2003",2003,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,": Eligibility of Human Chorionic Gonadotrophin Inj. as Life Saving Drugs/Medicines Under S.No. 50A of Notification No. 20/99-Cus. dated 28.2.99 - exemption from Customs duty - Circular No.48/1999-Customs, dated 30.7.99",1999,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,": Eligibility of reusable plastic containers for duty free import under notification No.104/94-Cus. - Circular No.69/2002-Customs, dated 25.10.2002",2002,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,": Import of Cosmetics under the Drugs and Cosmetics Act, 1940 and Rules made thereunder. - Circular No.8/2010-Customs, dated 26.3.10",2010,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,": Imports for delivery to an institution, eligibility under notification 51/96-Cus. - Circular No.27/2003-Customs dated 2.4.2003",2003,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,": Provisional release of export - goods detained for investigation.- Circular No.1/2011-Customs, dated 4.1.2011",2011,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,": Refund of 4 Additional Duty of Customs (4 CVD) in pursuance of Notification No.102/2007- Customs dated 14.9.2007 - Disposal of claims in respect of cases where assessments are provisional - Circular No.23/2010-Customs, dated 29.07.2010",2010,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,":- Declaration of ONGC installations in Bombay High as Designated Area - Circular No.28/1995-Customs, dated 27.3.1995",1995,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,"Acceptance of birth, death certificates issued througth CRS application",2015,CENTRAL,Ministry of Home Affairs,registration-births-deaths-act-1969,"The Registration of Births and Deaths Act, 1969"
circular,"Acknowledgement of letters/representations received from Trade / Associations in the Customs.-Circular No.65/1996-Customs, dated 24.12.1996",1996,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,"Action Plan for Customs Revenue, 1997 - 98. - Circular No.35/1997-Customs, dated 13.09.1997",1997,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,"Addition of data field regarding 'customs notification number' for transmission of data to DGCI&S - Circular No.19/2009-Customs, dated 9.6.2009",2009,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,Additional information to be furnished along with the Cost Audit Reports.,1982,CENTRAL,Ministry of Corporate Affairs,cost-accountants-act-1959,"The Cost Accountants Act, 1959"
circular,"Adjudication of Cases involving under valuation of imported goods - Reg.- Circular No.7/1997-Customs, dated 31.3.1997",1997,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,"Adjudication of appraising related Show Cause Notices.- Circular No.44/11-Customs, dated 23.09.11",2011,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,"Adjudication of cases involving under valuation of imported goods - Circular No.8/1995-Customs, dated 23.1.1995",1995,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,Administrative control over ICDs /CFSs - Circular No.33/2003-Customs dated 24.4.2003,2003,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
circular,"Administrative control over ICDs/CFSs.- Circular No.47/2004-Customs, dated 13.08.2004",2004,CENTRAL,Ministry of Finance,customs-act-1962,"The Customs Act, 1962"
